Language name,Glottocode,ISO code,Latitude,Longitude,Numeral system,Numeral subsystem,Notes,Formation of 5,Formation of 10,Formation of 15,Formation of 20,Formation of 40,Evidence of binary counting?,Evidence of ternary counting?,Evidence of quaternary counting?,Evidence of quinary counting?,Evidence of senary counting?,Evidence of decimal counting?,Evidence of vigesimal counting?,Evidence of a body-part tallying system?,Documentation of a hand word used somewhere? (Papuan languages only),Family,"Ancient, creolized, simplified, standardized, or diasporic variety of another language?",Family-majority system,Family type,On the New Guinea mainland?,Nation,Subregion,Datasets,Number of sources,Dialects included
'Are'are,area1240,alu,-9.20699,161.158,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10 (different form),4 ⋅ 10 (different form),no,no,no,no,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Solomon Islands,Malaita,"abvd (3x), numerals",4,_
'Auhelawa,auhe1237,kud,-10.0959,151.002,quinary,quinary,6 to 9 = x + n,5 or 5 x,5 ⋅ 2,unknown,man x,unknown,no,no,no,yes,no,no,maybe,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,Milne Bay,"abvd (2x), numerals",3,_
Abadi,abad1241,kbt,-9.03389,146.992,decimal,decimal modified,"multiplication/addition for 6 ([2] ⋅ 3), 8 ([2] ⋅ 4), 9 ([2] ⋅ 4 + 1); 11 to 19 = 10 + n",5,10 ⋅ 1 (innovative?),10 ⋅ 1 + 5,2 ⋅ 10 (innovative?),4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Central (PNG),"abvd, barlowpacific, numerals",3,_
Abaga,abag1245,abg,-6.12028,145.665,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2; 5 = one hand?",1 hand (?),unknown,unknown,unknown,unknown,yes,no,no,insufficient data,insufficient data,insufficient data,insufficient data,_,yes,Kainantu-Goroka,_,binary,Papuan,yes,Papua New Guinea,Eastern Highlands,barlowpacific,1,_
Abai Sungai,abai1240,abf,5.55394,118.306,decimal,decimal proper,1 through 10 < PAN (although 7 from ‘point’?); numerals above 10 unknown,5,10,unknown,unknown,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Malaysia,Sabah,numerals,1,_
Abai Tubu-Abai Sembuak,abai1241,_,3.524226,116.162455,decimal,decimal proper,11 = 10 + 1; 20 = 2 ⋅ 10,5,10,unknown,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,North Kalimantan,barlowpacific (2x),2,_
Abau,abau1245,aau,-3.97222,141.324,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2; or dialectal differences for 4; 5 = 2 + 2 + 1; or 5 contains hand",2 + 2 + 1 or hand 1,hand 2,hand 2 foot 1,hand 2 foot 2,unknown,yes,no,no,yes,no,no,insufficient data,_,yes,Sepik,_,binary,Papuan,yes,Papua New Guinea,Sandaun,"barlowpacific (9x), numerals",10,_
Abawiri,foau1240,flh,-3.04582,139.213,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + 1; or 5 contains hand; quinary starting at 5",2 + 2 + 1 or hand side or hand side all,hand side hand side or hand both,hand both foot side all,foot both,unknown,yes,no,no,yes,no,no,insufficient data,_,yes,Lakes Plain,_,binary,Papuan,yes,Indonesia,Papua Province,numerals (2x),2,_
Abenlen Ayta,aben1249,abp,15.4131,120.2,decimal,decimal proper,11 to 19 = x + n,5,10,x + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Central Luzon,"abvd, numerals",2,_
Abinomn,abin1243,bsa,-2.92281,138.891,binary,binary proper,"3 = x + y, 4 = x + x, 5 = x + x + 1; or 5 = 6 (= ‘many’)?; possibly alternative binary+4",2 + 2 + 1 or 6 [sic] (?),unknown,unknown,unknown,unknown,yes,no,no,no,insufficient data,insufficient data,insufficient data,_,_,Abinomn,_,binary,Papuan,yes,Indonesia,Papua Province,"barlowpacific, numerals",2,_
