Language name,Glottocode,ISO code,Latitude,Longitude,Numeral system,Numeral subsystem,Notes,Formation of 5,Formation of 10,Formation of 15,Formation of 20,Formation of 40,Evidence of binary counting?,Evidence of ternary counting?,Evidence of quaternary counting?,Evidence of quinary counting?,Evidence of senary counting?,Evidence of decimal counting?,Evidence of vigesimal counting?,Evidence of a body-part tallying system?,Documentation of a hand word used somewhere? (Papuan languages only),Family,"Ancient, creolized, simplified, standardized, or diasporic variety of another language?",Family-majority system,Family type,On the New Guinea mainland?,Nation,Subregion,Datasets,Number of sources,Dialects included
Abom,abom1238,aob,-8.42448,142.842,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + 1",2 + 2 + 1,unknown,unknown,unknown,unknown,yes,no,no,no,insufficient data,insufficient data,insufficient data,_,_,Anim,_,binary,Papuan,yes,Papua New Guinea,Western (PNG),numerals,1,_
Abu,abuu1241,ado,-4.24027,144.474,quinary,quinary,"subtraction for 4 ?; 5 contains arm; 10 = 5 ⋅ 2 (system looks possibly confused, e.g., 'eight' was perhaps misunderstood as 'head')",1 hand,10 (?),unknown,unknown,unknown,no,no,no,yes,no,maybe,insufficient data,_,yes,Ramu,_,binary,Papuan,yes,Papua New Guinea,East Sepik,barlowpacific (3x),3,_
Abu' Arapesh,abua1245,aah,-3.461612,142.917031,quinary,quinary,4 < ‘dog’; may also use doubling for 4 (2 + 2) and 6 (3 + 3); 6 to 9 = 5 + n,hand other,hand 2,hand 2 leg 1,hand 2 leg 2,unknown,no,no,no,yes,no,no,insufficient data,_,yes,Nuclear Torricelli,_,binary,Papuan,yes,Papua New Guinea,Sandaun,barlowpacific,1,_
Abui,abui1241,abz,-8.31058,124.588,quinary,quinary,simplex 6; 7 to 9 = x + n,5 (?),10 ⋅ 1 (?),10 ⋅ 1 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Timor-Alor-Pantar,_,decimal,Papuan,no,Indonesia,East Nusa Tenggara,"barlowpacific (2x), lexirumah (6x), numerals (3x)",11,atim1239
Abun,abun1252,kgr,-0.57073,132.416,decimal,decimal proper,"4, 7 from Austronesian?; onset run from 5 to 9 ?; 11 to 19 = 10 + n",5 (?),10 (?),10 + 5,10 ⋅ 2 or 20 (?),10 ⋅ 4 or 20 ⋅ 2,no,no,no,no,no,yes,yes,_,_,Abun,_,decimal,Papuan,yes,Indonesia,West Papua Province,"barlowpacific (2x), numerals",3,_
Acehnese,achi1257,ace,3.90757,96.6032,decimal,decimal modified,"subtraction for 8, 9; 11 to 19 = n + x",5,1 ⋅ 10,5 + 10,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Aceh,"abvd, barlowpacific (2x), googleuninum, numerals",5,_
Adang,adan1251,adn,-8.18958,124.448,decimal,decimal modified,"subtraction for 8, 9; 7 maybe < Austronesian 7 and [10 minus] 3; 11 to 19 = 10 + n",5 (?),10 ⋅ 1,10 ⋅ 1 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Timor-Alor-Pantar,_,decimal,Papuan,no,Indonesia,East Nusa Tenggara,"lexirumah (2x), numerals",3,_
Adasen,adas1235,tiu,17.8187,120.905,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Cordillera,numerals,1,_
Adonara,adon1237,adr,-8.32027,123.159,decimal,decimal proper,8 historically from 4 ⋅ 2 ?; 11 to 19 = 10 + n,5,10,10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,East Nusa Tenggara,"lexirumah, numerals",2,_
Adzera,adze1240,adz,-6.39394,146.294,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + 1; or 5 = 2 + 1 + 1; or 5 = one hand (One informant said that counting on hands had been introduced)",2 + 2 + 1 or 2 + 1 + 2 or hand 1 or hand side,hand side and hand side,hand side and hand side and leg side,hand 2 foot 2,unknown,yes,no,no,maybe,no,no,insufficient data,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Morobe,"barlowpacific (3x), numerals (2x)",5,_
Aeka,aeka1244,aez,-8.855095,147.99477,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2; or 4 = 5 minus 1 in one dialect; 5 = hand one; quinary starting at 5",hand 1,hand 2,hand 2 foot 1,hand 2 foot 2,unknown,yes,no,no,yes,no,no,insufficient data,_,yes,Greater Binanderean,_,binary,Papuan,yes,Papua New Guinea,Oro,barlowpacific (3x),3,_
Aekyom,aeky1238,awi,-5.88478,141.532,binary,binary proper,3 = 2 + 1; body tally after 3; 5 = thumb,thumb,shoulder,upper arm,index finger (?),unknown,yes,no,no,no,no,no,insufficient data,yes,_,Kamula-Elevala,_,binary,Papuan,yes,Papua New Guinea,Western (PNG),barlowpacific,1,_
Agarabi,agar1252,agd,-6.20604,145.917,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2; 5 contains hand",hand 1,hand 2,hand 2 foot cross over (?),hand 2 foot 2 or 1 man,unknown,yes,no,no,yes,no,no,maybe,_,yes,Kainantu-Goroka,_,binary,Papuan,yes,Papua New Guinea,Eastern Highlands,"barlowpacific (2x), numerals",3,_
Aghu,aghu1255,ahh,-6.34674,140.043,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2; or, alternative simplex 3 ?",5 (?),5 + 5 (?),unknown,unknown,unknown,yes,no,no,yes,no,insufficient data,insufficient data,_,_,Asmat-Awyu-Ok,_,binary,Papuan,yes,Indonesia,Papua Province,barlowpacific,1,_
Agi,agii1245,aif,-3.49104,142.387,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2; 5 contains arm?",arm (?),unknown,unknown,unknown,unknown,yes,no,no,insufficient data,insufficient data,insufficient data,insufficient data,_,yes,Nuclear Torricelli,_,binary,Papuan,yes,Papua New Guinea,Sandaun,barlowpacific,1,_
Agob-Ende-Kawam,agob1244,kit,-9.08521,142.532,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + x; also body tally (5 = thumb) and possibly borrowed senary system",2 + 2 + x or thumb,sternum,thumb or borrowed from English,borrowed from English,borrowed from English,yes,no,no,no,maybe,no,insufficient data,yes,_,Pahoturi,_,binary,Papuan,yes,Papua New Guinea,Western (PNG),"barlowpacific (3x), ids-lindseyende, numerals (2x)",6,ende1235
Agta-Pahanan,agta1234,apf,17.0538,122.2802,decimal,decimal proper,20 = 2 ⋅ 10,5,1 ⋅ 10,unknown,2 ⋅ 10,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Cagayan Valley,barlowpacific (2x),2,_
Agusan Manobo,agus1235,msm,8.62731,125.742,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,10 ⋅ 2 (different form),10 ⋅ 4 (different form),no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Caraga,numerals,1,_
Agutaynen,agut1237,agn,10.5328,119.655,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10 or 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Mimaropa,"abvd, numerals",2,_
Ahin-Kayapa Kalanguya,ahin1234,kak,16.321,120.90003,decimal,decimal proper,11 to 19 = x + n,5,1 ⋅ 10,x + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Cagayan Valley,"abvd, barlowpacific, numerals (2x)",4,kaya1320
Aighon,aigh1235,aix,-5.99488,150.272,quinary,quinary,6 to 9 = x + n,5 (innovative?),10 ⋅ 1,10 ⋅ 1 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,West New Britain,numerals,1,_
Aiklep,aikl1237,mwg,-6.23575,149.571,quinary,quinary,6 to 9 = x + n,5,10,10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,West New Britain,"barlowpacific (2x), numerals",3,_
Aimele,aime1238,ail,-6.68656,142.656,unknown,unknown,body tally (5 = thumb),thumb,upper arm,cheek,eye,unknown,no,no,no,no,no,no,insufficient data,yes,_,Bosavi,_,_,Papuan,yes,Papua New Guinea,Southern Highlands,numerals,1,_
Ainbai,ainb1238,aic,-3.09214,141.149,unknown,unknown,no data,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Border,_,binary,Papuan,yes,Papua New Guinea,Sandaun,_,0,_
Aiome,aiom1240,aki,-5.13467,144.765,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + 1; or 5 contains hand; quinary starting at 5",2 + 2 + 1 or hand other complete,hand other complete hand other complete,hand other complete hand other complete foot other complete,hand other complete hand other complete foot other complete foot other complete,unknown,yes,no,no,yes,no,no,insufficient data,_,yes,Ramu,_,binary,Papuan,yes,Papua New Guinea,Madang,barlowpacific (2x),2,_
Airoran,airo1242,air,-1.8522,138.158,unknown,unknown,"no data past 5; quinary? (6 = 1, 7 = 2)",5 (?),unknown,unknown,unknown,unknown,no,no,no,maybe,insufficient data,insufficient data,insufficient data,_,_,Greater Kwerba,_,binary,Papuan,yes,Indonesia,Papua Province,"barlowpacific, numerals",2,_
Aisi,musa1266,mmq,-5.37407,145.197,binary,binary proper,3 = x + 2; 4 looks unreliable (contains ‘another’?),unknown,unknown,unknown,unknown,unknown,yes,no,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Madang,_,binary,Papuan,yes,Papua New Guinea,Madang,barlowpacific (3x),3,_
Äiwoo,ayiw1239,nfl,-10.282595,166.328715,quinary,quinary,"sequential number word formation for 4, 5 ?; 6 to 9 = x + n",5 (sequentialized?),10 (innovative?),10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Solomon Islands,Temotu,"abvd, numerals (2x)",3,_
Ajië,ajie1238,aji,-21.3029,165.468,quinary,quinary,6 to 9 = 5 + n,5 (innovative?),10 (innovative?),10 + another side,1 person or x 1 person,2 person,no,no,no,yes,no,maybe,yes,_,_,Oceanic,_,quinary,Austronesian,no,New Caledonia,New Caledonia,"abvd (2x), numerals",3,_
Ak,akkk1240,akq,-3.57026,141.784,quinary,quinary,"7 = 5 + x; 10 = 5 ⋅ 2; simplex 6, 8 ? (unknown 9)",5 (?),hand 2,unknown,hand 2 x (foot?) 2,unknown,no,no,no,yes,no,no,insufficient data,_,yes,Sepik,_,binary,Papuan,yes,Papua New Guinea,Sandaun,barlowpacific,1,_
Akei,akei1237,tsr,-15.6377,166.767,quinary,quinary,"6 = x + 1, 7 to 9 = y + n",5,1 ⋅ 10,1 ⋅ 10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Vanuatu,Santo,"abvd (3x), numerals",4,_
Aklanon,akla1240,akl,11.55432,122.35413,decimal,decimal proper,"10, 100, 1000 distinct",5,10,10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Western Visayas,"abvd, numerals (2x)",3,akla1241
Akolet,akol1237,akt,-6.22711,150.182,quinary,quinary,6 to 9 = n + x,5,10 (innovative?) or 10 ⋅ 1 (innovative?),10 + 5 or 10 ⋅ 1 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,West New Britain,"abvd, barlowpacific, numerals (2x)",4,_
Akoye,akoy1238,miw,-7.66067,145.669,binary,binary proper,3 = 2 + x; 4 = 2 + 2; 5 contains hand?,hand,hand 2 (?),unknown,unknown,unknown,yes,no,no,maybe,no,insufficient data,insufficient data,_,yes,Angan,_,binary,Papuan,yes,Papua New Guinea,Gulf,barlowpacific (2x),2,_
Alabat Island Agta,alab1246,dul,14.1217,122.014,decimal,decimal proper,20 = 2 ⋅ 10; 50 = 5 ⋅ 10,5,1 ⋅ 10,unknown,2 ⋅ 10,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Calabarzon,"abvd, numerals",2,_
Alamblak,alam1246,amp,-4.66307,143.316,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2; 5 contains hand; also body tally (5 = thumb)",1 hand or hand whole or thumb,2 hand or hand 2 or shoulder,2 hand 1 foot or nose,1 person whole or whole person,unknown,yes,no,no,yes,no,no,maybe,yes,yes,Sepik,_,binary,Papuan,yes,Papua New Guinea,East Sepik,"barlowpacific, numerals (3x)",4,_
Alangan,alan1249,alj,13.0982,121.022,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 1 ⋅ 10,4 ⋅ 1 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Mimaropa,"abvd, numerals",2,_
Ale,wail1242,wlr,-15.5656,166.902,quinary,quinary,"6 = 5 + x, 7 to 9 = x + n",5,1 ⋅ 10,1 ⋅ 10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Vanuatu,Santo,"abvd, numerals",2,_
Alekano,alek1238,gah,-6.03901,145.387,binary,binary proper,"3 = 2 + x, 4 = 2 + 2; 5 = 2 + 2 + x; or 5 contains fingers",2 + 2 + x or fingers side a being gone (?),fingers side side being gone (?) or fingers (?),fingers side side being gone side toes side having jumped over (?),toes fingers being gone,unknown,yes,no,no,no,no,insufficient data,insufficient data,_,yes,Kainantu-Goroka,_,binary,Papuan,yes,Papua New Guinea,Eastern Highlands,"barlowpacific (4x), numerals",5,_
Alorese,alor1247,aol,-8.20382,124.264,decimal,decimal proper,11 to 19 = 10 + n,5,10 ⋅ 1 (innovative?),10 + 5,10 ⋅ 2 (innovative?),10 ⋅ 4 (innovative?),no,no,no,no,no,yes,no,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,East Nusa Tenggara,"barlowpacific, lexirumah (14x), numerals",16,_
Alu-Sinagen,diaa1238,dia,-3.38837,142.248,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + 1; or 5 = arm one",2 + 2 + 1 or arm 1,arm arm,arm arm leg,arm arm leg leg,unknown,yes,no,no,insufficient data,no,no,insufficient data,_,yes,Nuclear Torricelli,_,binary,Papuan,yes,Papua New Guinea,Sandaun,barlowpacific (2x),2,_
Alune,alun1238,alp,-3.11477,128.394,decimal,decimal proper,11 to 19 = 10 + n,5,10 ⋅ 1,10 ⋅ 1 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Maluku,"abvd (2x), barlowpacific (2x), numerals (2x)",6,_
Ama (Papua New Guinea),amap1240,amm,-4.20192,141.658,binary,binary+3,4 = 2 + 2; body tally after 4 (5 = thumb),thumb or hand 1 finished,shoulder 2 or hand 2 finished,unknown,unknown,unknown,yes,no,no,maybe,no,no,insufficient data,yes,yes,Left May,_,_,Papuan,yes,Papua New Guinea,East Sepik,barlowpacific (3x),3,_
Amahai,amah1245,amq,-3.32028,128.939,decimal,decimal proper,11 to 19 = 10 + n,5,10 ⋅ 1,10 ⋅ 1 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Maluku,"abvd, barlowpacific (3x), numerals",5,_
Amaimon,amai1246,ali,-5.18742,145.368,unknown,unknown,no data past 2,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Madang,_,binary,Papuan,yes,Papua New Guinea,Madang,barlowpacific,1,_
Amal,amal1242,aad,-4.04517,141.995,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + 1",2 + 2 + 1,unknown,unknown,unknown,unknown,yes,no,no,no,insufficient data,insufficient data,insufficient data,_,_,Sepik,_,binary,Papuan,yes,Papua New Guinea,Sandaun,barlowpacific,1,_
Amam,amam1246,_,-7.9,146.92,binary,binary proper,"3 = 2 + 1; 4 unknown (thus, possibly, binary+4); 5 = fist",fist,fist 2,unknown,unknown,unknown,yes,no,no,maybe,no,insufficient data,insufficient data,_,yes,Goilalan,_,binary,Papuan,yes,Papua New Guinea,Morobe,barlowpacific,1,_
Amanab,aman1265,amn,-3.51516,141.178,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + 1; said to be rarely used; also body tally",2 + 2 + 1 or thumb,shoulder,armpit,wrist (?),unknown,yes,no,no,no,no,no,insufficient data,yes,_,Border,_,binary,Papuan,yes,Papua New Guinea,Sandaun,"barlowpacific (3x), numerals",4,_
Amara,amar1272,aie,-5.55778,148.68,quinary,quinary,6 to 9 = 5 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,1 ⋅ 10 ⋅ 2,1 ⋅ 10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,West New Britain,"abvd, numerals",2,_
Amarasi,amar1273,aaz,-10.21751,123.96373,decimal,decimal proper,11 to 19 = 10 + n,5,10 ⋅ 1,10 ⋅ 1 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,East Nusa Tenggara,"lexirumah (2x), numerals",3,"koto1251, rois1241"
Amba (Solomon Islands),amba1266,utp,-11.2958,166.498,decimal,decimal proper,11 to 19 = 10 + n,5 (innovative?),10 or 10 ⋅ 1 (innovative?),10 + 5,10 ⋅ 2 (innovative?) or 10 ⋅ 2,10 ⋅ 4 (innovative?) or 10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Solomon Islands,Temotu,"abvd, numerals",2,_
Ambai,amba1265,amk,-1.88126,136.526,decimal,decimal modified,"subtraction for 8, 9; or (quinary) addition: 8 = x + 3, 9 = x + 4; 11 to 19 = 10 + n",5,1 ⋅ 10,1 ⋅ 10 + 5,man 1,man 2,no,no,no,maybe,no,yes,yes,_,_,South Halmahera-West New Guinea,_,decimal,Austronesian,no,Indonesia,Papua Province,"abvd, barlowpacific, numerals",3,_
Ambakich,amba1269,aew,-4.23181,144.285,quinary,quinary,5 = hand one; 6 to 9 = 5 + n; 10 = 5 ⋅ 2,hand or hand 1,hand 2 or hand 2 x,hand 2 x foot 1 y,hand 2 foot 2 y,unknown,no,no,no,yes,no,no,insufficient data,_,yes,Keram,_,quinary,Papuan,yes,Papua New Guinea,East Sepik,barlowpacific (5x),5,_
Ambala Ayta,amba1267,abc,14.8156,120.283,decimal,decimal proper,11 to 19 = x + n,5,1 ⋅ 10,x + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Central Luzon,numerals,1,_
Ambelau,ambe1248,amv,-3.85919,127.196,decimal,decimal proper,11 to 19 = 10 + n,5,10,10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Maluku,"barlowpacific, numerals",2,_
Amblong,ambl1237,alm,-15.5169,166.95,quinary,quinary,"6 = 5 + x, 7 to 9 = x + n",5,1 ⋅ 10,1 ⋅ 10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Vanuatu,Santo,"abvd, numerals",2,_
Ambonese Malay,ambo1250,abs,-3.71342,128.184,decimal,decimal modified,"subtraction for 8, 9; 11 = 10 + 1; 12 = 10 + 2",5,1 ⋅ 10,unknown,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,Malay variety?,decimal,Austronesian,no,Indonesia,Maluku,"abvd, barlowpacific (2x)",3,_
Ambrak,ambr1239,aag,-3.61,142.56,unknown,unknown,no data,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Nuclear Torricelli,_,binary,Papuan,yes,Papua New Guinea,Sandaun,_,0,_
Ambulas,ambu1247,abt,-3.7801,143.059,binary,binary+3,"4 = 2 + 2; or some ternary elements (4 = 3 + 1, 5 = 3 + 2); or 5 contains hand",3 + 2 or hand or 1 hand,2 hand or hand 2,3 hand or hand 2 x leg y,2 + 2 hand or leg hand 2 or leg 2 hand 2 or 1 tree (?),unknown,yes,maybe,no,yes,no,no,maybe,_,yes,Ndu,_,quinary,Papuan,yes,Papua New Guinea,East Sepik,"barlowpacific (6x), numerals",7,_
Amele,amel1241,aey,-5.29126,145.687,quinary,quinary,subtraction for 4 ?; 5 = one hand; 6 to 9 = 5 + n,hand 1,hand palm palm,hand palm palm hand palm add,hand palm palm hand palm palm add,unknown,no,no,no,yes,no,no,insufficient data,_,yes,Madang,_,binary,Papuan,yes,Papua New Guinea,Madang,"barlowpacific (2x), numerals",3,_
Amganad Ifugao,amga1235,ifa,16.9016,121.042,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,x 4 (?),no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Cordillera,"abvd, numerals",2,_
Amis,amis1246,ami,23.0917,121.348,decimal,decimal proper,11 to 19 = 10 + n or 11 to 19 = n + x,5,10 or 10 (innovative?),10 + 5 or 5 + x,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Formosan,_,decimal,Austronesian,no,Taiwan,Taiwan,"abvd (4x), numerals (7x)",11,"cent2104, nata1254, tava1241"
Ampanang,ampa1239,apg,-0.79259,116.349,decimal,decimal modified,subtraction for 9 ?; 10 is underived; numerals above 10 unknown,5,1 ⋅ 10,unknown,unknown,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,East Kalimantan,barlowpacific,1,_
Amto,amto1250,amt,-4.12165,141.339,binary,binary+3,4 = 2 ⋅ [2],5 (?),x 5 (?),unknown,unknown,unknown,yes,no,no,maybe,no,insufficient data,insufficient data,_,_,Amto-Musan,_,_,Papuan,yes,Papua New Guinea,Sandaun,barlowpacific (2x),2,_
Anakalangu,anak1240,akg,-9.63425,119.605,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,East Nusa Tenggara,"abvd (3x), numerals",4,_
