ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source
kaki1249,Kaki Ae,Papunesia,-7.9946,145.816,kaki1249,tbd,numerals
kala1256,Kalabra,Papunesia,-1.43074,131.617,kala1256,kzz,barlowpacific;numerals
kala1388,Kalagan,Papunesia,6.8126,125.328,kala1388,kqe,abvd;numerals
kala1391,Kalabakan,Papunesia,4.53605,117.317,kala1391,kve,barlowpacific;numerals
kala1394,Kalao,Papunesia,-7.31213,120.995,kala1394,kly,lexirumah;numerals
kala1397,Kalam,Papunesia,-5.25216,144.585,kala1397,kmh,barlowpacific;numerals
kalo1262,Kalou,Papunesia,-3.93985,142.217,kalo1262,ywa,barlowpacific
kalu1247,Kalumpang,Papunesia,-2.33388,119.474,kalu1247,kli,barlowpacific;numerals
kalu1248,Kaluli,Papunesia,-6.45932,142.788,kalu1248,bco,barlowpacific;numerals
kama1360,Kamasa,Papunesia,-6.97411,146.20797,kama1360,klp,barlowpacific
kama1362,Kamarian,Papunesia,-3.40779,128.526,kama1362,kzx,barlowpacific;numerals
kama1363,Kamayo,Papunesia,8.10796,126.314,kama1363,kyk,abvd;barlowpacific
kama1364,Kamaru,Papunesia,-5.15696,123.045,kama1364,kgx,lexirumah
kama1365,Kamang,Papunesia,-8.26897,124.792,kama1365,woi,barlowpacific;lexirumah;numerals
kama1367,Kamasau,Papunesia,-3.8503,143.842,kama1367,kms,barlowpacific;numerals
kama1370,Kamano,Papunesia,-6.25829,145.728,kama1370,kbq,barlowpacific
kamb1299,Kambera,Papunesia,-9.88447,120.235,kamb1299,xbr,abvd;barlowpacific;lexirumah;numerals
kamb1302,Kamberau,Papunesia,-3.53189,133.518,kamb1302,irx,numerals
kamb1303,Kambaira,Papunesia,-6.26656,146.083,kamb1303,kyy,
kamo1255,Kamoro,Papunesia,-4.30433,135.883,kamo1255,kgq,barlowpacific;numerals
kamu1260,Kamula,Papunesia,-7.28798,142.639,kamu1260,xla,barlowpacific;numerals
kana1286,Kanakanavu,Papunesia,23.3235,120.887,kana1286,xnb,abvd;numerals
kana1288,Kanasi,Papunesia,-10.1658,149.751,kana1288,soq,barlowpacific;numerals
kand1301,Kandas,Papunesia,-4.3652,152.781,kand1301,kqw,abvd;barlowpacific;numerals
kand1303,Kandawo,Papunesia,-5.73674,144.966,kand1303,gam,numerals
kang1289,Kangean,Papunesia,-7.98335,112.968,kang1289,kkv,barlowpacific
kang1291,Kanggape,Papunesia,-4.4153,144.816,kang1291,igm,barlowpacific
kani1281,Kaninuwa,Papunesia,-9.23148,150.253,kani1281,wat,barlowpacific;numerals
kani1282,Kaniet,Papunesia,-1.51777,145.086,kani1282,ktk,abvd;barlowpacific
kani1283,Kaniet-Dempwolff,Papunesia,-0.892611,145.543794,kani1283,,barlowpacific
kani1285,Kaningra,Papunesia,-4.49681,143.192,kani1285,knr,
kani1286,Kanite,Papunesia,-6.38841,145.556,kani1286,kmu,barlowpacific
kank1243,Kankanaey,Papunesia,16.8548,120.689,kank1243,kne,abvd;numerals
kano1244,Kanowit-Tanjong Melanau,Papunesia,2.03781,112.383,kano1244,kxn,barlowpacific;numerals
kaoo1238,Kao,Papunesia,1.16654,127.847,kaoo1238,kax,
kapi1249,Kapingamarangi,Papunesia,1.039166,154.797223,kapi1249,kpg,abvd;numerals
kapi1250,Kapin,Papunesia,-7.05732,146.529,kapi1250,tbx,barlowpacific;numerals
kapo1250,Kapori,Papunesia,-3.52696,139.766,kapo1250,khp,
kapp1237,Kap,Papunesia,-3.28761,142.659,kapp1237,ykm,abvd;barlowpacific;numerals
kapr1245,Kapriman,Papunesia,-4.51011,143.241,kapr1245,dju,barlowpacific
kapt1235,Kaptiau,Papunesia,-2.388426,139.795818,kapt1235,kbi,barlowpacific
kara1486,Kara (Papua New Guinea),Papunesia,-2.81957,151.111,kara1486,leu,abvd;barlowpacific;numerals
kara1487,Karao,Papunesia,16.5655,120.956,kara1487,kyj,numerals
kara1489,Mandaya,Papunesia,7.50481,126.409,kara1489,mry,numerals
kara1495,Karawa,Papunesia,-3.69933,142.018,kara1495,xrw,barlowpacific
kara1497,Karami,Papunesia,-7.13333,143.117,kara1497,xar,barlowpacific
kara1499,Kalamang,Papunesia,-3.47037,132.678,kara1499,kgv,barlowpacific;ids-visserkalamang;lexirumah;numerals
kare1339,Karey,Papunesia,-6.74181,134.375,kare1339,kyd,numerals
kare1341,Kare (Papua New Guinea),Papunesia,-5.07674,145.499,kare1341,kmf,barlowpacific
kark1258,Karkar-Yuri,Papunesia,-3.74954,141.098,kark1258,yuj,barlowpacific
karn1252,Karnai,Papunesia,-5.74133,147.917,karn1252,bbv,barlowpacific;numerals
karo1298,Karore,Papunesia,-6.15563,149.907,karo1298,xkx,
karo1299,Northern Binukidnon,Papunesia,9.992,122.816,karo1299,kyn,
kasi1256,Kasiguranin,Papunesia,16.1881,122.118,kasi1256,ksn,barlowpacific
kasu1251,Kasua,Papunesia,-6.64861,142.993,kasu1251,khs,barlowpacific;numerals
katb1237,Avava,Papunesia,-16.2701,167.484,katb1237,tmb,abvd;numerals
kate1253,Kâte,Papunesia,-6.4795,147.757,kate1253,kmg,barlowpacific;numerals
kaul1240,Kaulong,Papunesia,-6.08192,149.696,kaul1240,pss,abvd;barlowpacific;numerals
kaur1269,Kaur,Papunesia,-4.6251,103.512,kaur1269,vkk,barlowpacific;numerals
kaur1271,Kaure-Narau,Papunesia,-3.39188,140.14,kaur1271,bpp,barlowpacific;numerals
kauw1242,Kauwera,Papunesia,-2.22799,138.157,kauw1242,xau,barlowpacific;numerals
kava1241,Kavalan,Papunesia,24.6947,121.645,kava1241,ckv,abvd;numerals
kawa1276,Kawacha,Papunesia,-6.95411,146.20997,kawa1276,kcb,barlowpacific
kawe1240,Kawe,Papunesia,-0.17313,130.327,kawe1240,kgb,barlowpacific
kawi1241,Kawi,Papunesia,-7.0,111.0,kawi1241,kaw,barlowpacific
kaya1324,Kayan Mahakam,Papunesia,0.91787,114.452,kaya1324,xay,barlowpacific
kaya1325,Kayan River Kayan,Papunesia,1.78269,115.827,kaya1325,xkn,
kaya1328,Kayagar,Papunesia,-6.37677,138.932,kaya1328,kyt,numerals
kaye1241,Kayeli,Papunesia,-3.39247,127.118,kaye1241,kzl,barlowpacific
kayu1243,Kayupulau,Papunesia,-2.54415,140.626,kayu1243,kzu,abvd;numerals
kazu1245,Kazukuru,Papunesia,-8.23886,157.687,kazu1245,kzk,abvd
keak1239,Keak,Papunesia,-3.98708,143.174,keak1239,keh,numerals
keap1239,Keapara,Papunesia,-10.1342,147.95,keap1239,khz,abvd;barlowpacific;numerals
keda1251,Kedah-Perak Malay,Eurasia,5.933,100.492,keda1251,meo,
keda1252,Kedang,Papunesia,-8.23039,123.77,keda1252,ksx,abvd;lexirumah;numerals
kede1239,Keder,Papunesia,-2.03589,139.081,kede1239,kdy,barlowpacific
kehu1238,Kehu,Papunesia,-3.19328,136.14,kehu1238,khh,barlowpacific
keii1239,Kei,Papunesia,-5.63948,133.02,keii1239,kei,abvd;barlowpacific;numerals
kein1239,Kein,Papunesia,-5.3373,145.483,kein1239,bmh,barlowpacific;numerals
kela1255,Kela (Papua New Guinea),Papunesia,-7.47103,147.173,kela1255,kcl,abvd;barlowpacific;numerals
kela1258,Kelabit,Papunesia,3.31783,115.428,kela1258,kzi,abvd;numerals
kele1258,Kele (Papua New Guinea),Papunesia,-2.09163,147.064,kele1258,sbc,abvd;barlowpacific
kele1259,Keley-i Kallahan,Papunesia,16.7099,121.035,kele1259,ify,abvd;numerals
kelo1247,Klon,Papunesia,-8.40688,124.429,kelo1247,kyo,abvd;lexirumah;numerals
kema1243,Kemak,Papunesia,-9.00299,125.159,kema1243,kem,abvd;barlowpacific;lexirumah;numerals
kemb1235,Kemberano,Papunesia,-2.24495,132.988,kemb1235,bzp,barlowpacific;lexirumah;numerals
kemb1249,Mateq,Papunesia,0.66181,110.468,kemb1249,xem,barlowpacific
kemb1250,Kembra,Papunesia,-3.89065,140.434,kemb1250,xkw,
kemt1242,Kemtuik,Papunesia,-2.64894,140.372,kemt1242,kmt,barlowpacific;numerals
